TaskID,TaskName,Type,SubStageID,Location,StepID,Name,Description,Picture
5,种子催芽,田事管理,1,1,13,温水浸种,浸好种子堆好，浇温水在30~32℃堆温下破胸，在适温22~25℃催芽，根、芽露出1毫米左右呈“双山”形为准，在阴凉处晾芽待播。,水稻浸种
5,种子催芽,田事管理,1,2，3,14,晒种,选择晴天（不要在烈日下暴晒），将种子摊成3~5公分薄层，晾晒1~2天，每天翻动3~4次。,10.huazhongnongshi
5,种子催芽,田事管理,1,2,15,盐水筛种,利用盐水泡种，撇去漂在水面上的种子，速度要快，之后用清水漂洗种子1~2次。,11.huazhongnongshi
5,种子催芽,田事管理,1,3,16,清水选种,清水漂洗法选种。,
5,种子催芽,田事管理,1,2,17,浸种消毒,每5公斤稻种用16%恶线清10克+35%吡虫灵4克兑水10公斤浸种12~24小时，防治种传病害，兼治苗期稻蓟马与灰飞虱。然后清水洗净种子，浸泡催芽至破胸露白即可播种。,12.huazhongnongshi
5,种子催芽,田事管理,1,3,18,拌种消毒,用强氯精300倍液或25%咪鲜胺乳油2000倍液浸种，防治恶苗病、立枯病。选用35%好安威种子处理剂按1:30种子量或35%丁硫克百威种子处理剂按1:125种子量拌种，防治稻蓟马。,
5,种子催芽,田事管理,1,3,19,催芽,常温条件下发芽。,
6,准备营养土,肥料运筹,1,1，2，3,20,营养土添加壮秧剂,准备经冬季冻融风化和粉碎过筛的营养土100~120千克/亩，以250:1的比例将营养土与壮秧剂混匀。,13.huazhongnongshi
7,苗床浇水,水分管理,1,1，2，3,21,苗床水反复多浇,播种前苗床要反复多次浇水，让耕层充分吸收水分。注意不能用碱性水。,14.huazhongnongshi
8,精量播种,田事管理,2,1,22,机械播种,用播种器播种，做好播种器检修，根据播量调整播种器，进行播种。,
8,精量播种,田事管理,2,1,23,人工播种,人工播种时要按两次均匀播下，第一次播种量为50%，第二次边播边找匀，起堆的地方要用鸡毛翎捕开。播后压种，使种子三面入土，然后用腐殖土或旱田肥土，覆土厚度以盖严种子为宜，厚度为0.7cm~1.0cm。,
8,精量播种,田事管理,2,2，3,24,播种,作业流程为干整做板、灌水验平、贴秧盘、定量匀播、盖种、泅齐苗水与覆膜盖草（或无纺布）。,"1.huazhongnongshi
2.huazhongnongshi"
8,精量播种,田事管理,2,1，2，3,25,盖土,播种后用与苗床同质的土，覆盖0.5~1厘米，以谷粒不外露为准。盖土要潮湿，覆盖要均匀、严实，不要使用火灰、草木灰等碱性土。,15.huazhongnongshi
8,精量播种,田事管理,2,1，2，3,26,秧田封闭除草（如果当地草害不重可省略）,盖土后亩用40%直播青60克兑水40~50公斤，或丙草胺100~110毫升兑水20公斤，均匀喷雾。,
8,精量播种,田事管理,2,1，2，3,27,覆膜,盖土后要及时盖膜，以拱架式为好，拱架高40厘米，薄膜要使用新膜，四周用土压实，以防风揭膜使水分蒸发，同时要在田周撒施毒饵防鼠。,16.huazhongnongshi
9,揭膜通风,田事管理,4,1，2，3,28,揭膜通风,揭膜通风：每天早上要通风一次，时间5分钟左右，随秧苗长大，秧苗通风时间相应延长。,4.huazhongnongshi
10,苗期浇水,水分管理,4,1，2，3,29,浇水原则,2叶期前，通常情况下不浇水，如果出现卷叶则灌满墒水，不卷叶不灌水。,
10,苗期浇水,水分管理,4,1,30,注意“三看”浇水,一看土面是否发白和根系生长状况，二看早、晚叶尖吐水珠大小，三看午间高温时新叶是否卷曲，如床土发白、早晚吐水珠变小或午间新叶卷曲，要在早晨8时左右，用16℃以上的水适当浇，1次浇足。,
10,苗期浇水,水分管理,4,1,31,异常情况水分调控,如发现地膜下有积水或土壤过湿，在白天移开地膜，尽快蒸发撤水，晚上再盖上地膜。如发现出苗顶盖现象或床土变白水分不足时，要敲落顶盖，露种处适当覆土，用细咀喷壶适量补水，接上底墒，再覆以地膜。,
11,施出苗肥,肥料运筹,4,1，2，3,32,看苗施苗肥,齐苗后根据秧苗叶片变黄情况及时施苗肥。,
11,施出苗肥,肥料运筹,4,1,33,发现脱肥需及时喷施叶面肥,秧苗2.5叶龄期发现脱肥，每平方米用硫酸铵1.5g~2.0g+硫酸锌0.25g，稀释100倍液叶面喷施，喷后及时用清水冲洗叶面。,棚内喷施叶面肥
11,施出苗肥,肥料运筹,4,2,34,施苗肥,1叶1心时可每盘施尿素2克，施后洒水；或者亩用8公斤尿素兑水1000公斤浇施。,
11,施出苗肥,肥料运筹,4,3,35,施苗肥,1叶1心期每亩用多效唑200克对水100公斤叶面喷施。看苗情每亩追施0.5公斤尿素和0.5公斤氯化钾对水20公斤喷洒。,
12,打“送嫁药”,植物保护,6,2，3,36,送嫁药,在移栽前5~7天打一次“送嫁药”，秧田用75%的三环唑+90%的杀虫单兑水喷施，预防水稻稻瘟病和稻螟虫的发生。,3.huzhongnongshi
13,施“送嫁肥”,肥料运筹,7,2,37,送嫁肥,在移栽前2~3天重施“送嫁肥”，每亩秧田施尿素7.5~10公斤，兑水浇施。,17.huazhongnongshi
13,施“送嫁肥”,肥料运筹,7,3,38,送嫁肥,送嫁肥：移栽前3~5天亩施尿素5公斤作“送嫁肥”。,17.huazhongnongshi
14,本田施基肥,肥料运筹,7,1,39,本田施基肥,基肥最后一次水耙地前均匀撒入并耙入全耕层土壤中。施用量占全生育期总量氮的30%、磷的100%、钾的50~60%。磷肥全做基施。机械插秧扩大侧深施肥面积，用量为基肥加蘖肥总量的80%，深施均匀。,18.huazhongnongshi
14,本田施基肥,肥料运筹,7,2,40,本田施基肥,本田翻耙地前需施基肥，基肥用量为全生育期施氮量的30％，施磷量的100％，施钾量的60~70％。可亩施45%复合肥20~25公斤，或尿素7~8公斤+钙镁磷肥20~30公斤+氯化钾5~8公斤，在耙地前调好水后施入。,18.huazhongnongshi
14,本田施基肥,肥料运筹,7,3,41,本田施基肥,中等肥力田块每亩大田施尿素10公斤，钙镁磷45公斤作基肥。低产和高产田根据此标准适量增减，在耙地前调好水后施入。,18.huazhongnongshi
15,本田准备,田事管理,7,1，2，3,42,耕地,采用耕翻、旋耕、耙耕相结合的方法，耕翻时，可用50~70马力以上的四轮驱动拖拉机及配套旋耕机具耕整稻田，耕深15厘米左右。整地要求做到田平面洁，全田高低不差2厘米，田面烂硬适度，耱田后沉实土壤1~3天栽插。同一田块达到“高低不过寸，寸水不露泥”。耙平后， 除了田面必须平整以外，还必须做到田底平坦，泥脚深度适宜，表层软硬适度，无瓦砾、僵块、残茬及其它有碍机插的杂物。,19.huazhongnongshi
15,本田准备,田事管理,7,1,43,本田第一次封闭除草,"插秧前水整地后第一次封闭除草，选择安全性高、防效好的除稗剂，有机磷类（阿罗津）、酰胺类（苯噻草胺）、磺酰脲类乙氧磺隆（太阳星）、环丙嘧磺隆、灭草松、恶草酮（农思它）二氯喹啉酸、四唑草胺（拜田净）。
插前5~7天，用毒土法或甩喷法，水层3~5cm，保水5~7天。等水自然渗至花达水进行插秧。",26.huazhongnongshi
15,本田准备,田事管理,7,2,44,本田第一次封闭除草,"插秧前水整地后第一次封闭除草，选择安全性高、防效好的除稗剂，有机磷类（阿罗津）、酰胺类（苯噻草胺）、磺酰脲类乙氧磺隆（太阳星）、环丙嘧磺隆、灭草松、恶草酮（农思它）二氯喹啉酸、四唑草胺（拜田净）。
插前5~7天，用毒土法或甩喷法，水层3~5cm，保水5~7天。等水自然渗至花达水进行插秧。",
15,本田准备,田事管理,7,3,45,本田第一次封闭除草,"插秧前水整地后第一次封闭除草，选择安全性高、防效好的除稗剂，有机磷类（阿罗津）、酰胺类（苯噻草胺）、磺酰脲类乙氧磺隆（太阳星）、环丙嘧磺隆、灭草松、恶草酮（农思它）二氯喹啉酸、四唑草胺（拜田净）。
插前5~7天，用毒土法或甩喷法，水层3~5cm，保水5~7天。等水自然渗至花达水进行插秧。",
15,本田准备,田事管理,7,1，2，3,46,本田沉淀,让本田沉淀五天左右，等到土壤不软不硬、上细下粗、上烂下糊、糊而不烂时，进行机插秧。本田整地要在秧苗可插前进行完毕，应做到“田等苗”，而不是“苗等田”。,
16,移栽前炼苗,田事管理,7,1，2，3,47,控制水分，炼苗,在不使秧苗蔫萎的前提下，进一步控制秧田水分，蹲苗、壮根，使秧苗处于饥渴状态，这样的话移栽后秧苗发根好、返青快和分蘖早。,20.huazhongnongshi
17,插秧规格,田事管理,8,1,48,根据养苗好坏确定,根据秧苗素质的好坏，壮苗要稀些弱苗要密些；调整的范围是：基本苗数在100~120苗/平方米，穴数在25~30穴/平方米。,
17,插秧规格,田事管理,8,1,49,根据地力水平确定,中等肥力土壤，行穴距为9寸×4寸；高肥力土壤，行穴距为9寸×5寸，每穴3~5棵基本苗。,
17,插秧规格,田事管理,8,2,50,常规稻机插秧规格,机械栽插；密度：行株距9寸×3.5寸，每亩1.7~1.9万穴，每穴3~5苗，每亩6~8万基本苗。,21.huazhongnongshi
17,插秧规格,田事管理,8,2,51,常规稻人工插/抛秧规格,人工插秧或抛秧。秧龄：25~30天。密度：行株距7寸×4寸，每亩插（抛）2.1~2.3万穴，每穴2~3苗，每亩4~6万基本苗。抛栽时按厢宽3~5米人工拉绳定田定量均匀点抛。,"22.huazhongnongshi
23.huazhongnongshi
"
17,插秧规格,田事管理,8,2,52,杂交稻插秧规格,行株距9寸×5寸，每亩1.3万穴，每蔸1~2苗，每亩2~3万基本苗。,
17,插秧规格,田事管理,8,3,53,人工插秧规格,秧龄：25~28天。密度：行株距5×7寸或4×8寸，每丛1~2粒谷苗，每亩1.8万丛左右。基本苗：一般每亩6~8万茎蘖数。,22.huazhongnongshi
17,插秧规格,田事管理,8,3,54,人工抛秧规格,密度：每亩2.2~2.5万蔸，每丛2~3苗。,23.huazhongnongshi
18,插秧,田事管理,8,1，2，3,55,当日清晨备秧,不要隔夜备秧：在气温较高的情况下，秧苗营养消耗大，抗性降低，返青慢，影响产量。,24.huazhongnongshi
18,插秧,田事管理,8,1，2，3,56,秧田水不宜过深,避免秧苗插的过深：一般2厘米为好，过深低节位分蘖少，减少穗数，降低产量。,
18,插秧,田事管理,8,1，2，3,57,插秧要求,"插秧时要做到浅、直、匀、齐。
浅：2厘米左右，深不超过3厘米。
直：秧苗插的直，不东倒西歪，行插直，行穴距规整；
匀：每穴苗数均匀；
齐：栽插深浅一致，不插高低苗、断头苗。",25.huazhongnongshi
19,插秧后水分控制,水分管理,9,1，2，3,58,寸水活棵,"秧苗移栽时因根系受伤，吸水力弱，因此移栽后至返青期这段时间要保持田间适宜的水层。
为了防止高温伤害晚稻秧苗，白天宜加深水层，晚上排水，促进发根返青。",
20,本田封闭除草,植物保护,10,1，2，3,59,本田第二次封闭除草,移栽后5~7天。,26.huazhongnongshi
20,本田封闭除草,植物保护,10,1,60,封闭剂选择,"以稗草、莎草为主的稻田：亩用50%苯噻草胺30~40克，或90%高杀草丹80~100毫升；
以莎草、阔叶草为主的稻田：亩用10%苄嘧磺隆10~15克，或10%吡嘧磺隆10~15克，或53%苯噻·苄30~35克，或50%丁草胺150毫升。",
20,本田封闭除草,植物保护,10,2,61,封闭剂选择,"以稗草、莎草为主的稻田：亩用50%苯噻草胺30~40克，或90%高杀草丹80~100毫升；
以莎草、阔叶草为主的稻田：亩用10%苄嘧磺隆10~15克，或10%吡嘧磺隆10~15克，或53%苯噻·苄30~35克，或50%丁草胺150毫升。",
20,本田封闭除草,植物保护,10,3,62,封闭剂选择,每亩可选用除草剂30%丁•苄可湿性粉剂150~200克，或35%丙•苄可湿性粉剂70~80克拌匀后撒施，并保持水层4~5天（可与施第一次分蘖肥结合）。,26.huazhongnongshi
21,施第一次分蘖肥,肥料运筹,10,1,63,及时施第一次分蘖肥,返青后立即施分蘖肥。蘖肥用量为全生育期氮肥用量的30%。分蘖肥要求早施，  可分两次进行，  第一次施分蘖肥总量的70~80%，  于返青后4叶龄施用。,
21,施第一次分蘖肥,肥料运筹,10,2，3,64,及时施第一次分蘖肥,即移栽后第5~7天，结合封闭除草剂亩施尿素4~5公斤，促进秧苗早分蘖。,27.huazhongnongshi
22,返青后间隙灌溉,水分管理,10,1,65,间隙灌溉,花达水移栽，深水（5~6厘米）扶苗，浅水（3厘米）增温促蘖。如有落干，次日早晨再灌，白天尽量不灌水、不落干，以免因蒸发带走热量，如需向根部供氧，也以夜间落干，早晨覆水为好。,
22,返青后间隙灌溉,水分管理,10,2，3,66,间隙灌溉,返青后的第1、2叶期实施，日灌夜露，晴灌阴露的间隙灌溉方式。,
23,施第二次分蘖肥,肥料运筹,11,1,67,施第二次分蘖肥,第二次施分蘖肥总量的20~30%，  11叶品种于5.5叶龄，  12叶品种于6.0叶龄施于色淡、生长差、分蘖少处。机插侧深施肥免施分蘖肥。,
23,施第二次分蘖肥,肥料运筹,11,2，3,68,施第二次分蘖肥,即移栽后第15~20天，亩施尿素4~5公斤，促进秧苗分蘖，安全渡过有效分蘖限界期。,27.huazhongnongshi
24,分蘖期搁田,水分管理,11,1，2，3,69,及时搁田,分蘖期浅水勤灌；当田间茎蘖数达80%穗数苗时即自然断水搁田，掌握“时到不等苗”、“苗到不等时”的原则，就是搁田应在水分对水稻影响不大的时期进行。,
24,分蘖期搁田,水分管理,11,1，2，3,70,搁田标准,"一般要求轻搁、分次搁。
搁田的标准是：田土沉实，田不陷脚，田面不发白，土表见白根，叶色褪淡，叶片挺起。",
25,施穗肥,肥料运筹,13,1，2，3,71,施肥原则,"叶色落黄程度良好的，穗肥可以早施；
叶色落黄程度一般的，穗肥应推迟施用，并适当减少施氮量；
叶色不落黄的不能施氮肥，仅施适量钾肥即可。",水稻正常落黄、部分落黄、落黄不明显
25,施穗肥,肥料运筹,13,1,72,施肥量,抽穗前20天追施穗肥。施肥量为全生育期施氮量的20%和全生育期施钾量的30~40%，  如有病害，  可先用药防治再施穗肥。,
25,施穗肥,肥料运筹,13,2，3,73,施肥量,施肥量为全生育期施氮量的35%和施钾量的30~40%。即倒2叶期，亩施尿素7~10公斤和氯化钾6~9公斤。,28.huazhongnongshi
26,干湿交替灌溉,水分管理,13,1，2，3,74,干湿交替灌溉,此时是水稻对水分最敏感时期。干湿交替灌溉应掌握：田面无水后2~3天再灌1~3厘米水层，反复几次。,"孕穗期有水、
孕穗期无水"
26,干湿交替灌溉,水分管理,13,1，2，3,75,轻晒露田,在抽穗前3~5天需要露田轻晒1~2天，改善土壤通透性，防止根系早衰。,
26,干湿交替灌溉,水分管理,13,1,76,防御低温冷害,进入减数分裂期（雌雄蕊发育时期），若有17℃以下低温，  灌深水防冷害，  水深17厘米以上，  水温在18℃以上，  剑叶叶耳间距正5厘米以后恢复间歇灌溉，  至始穗期实施浅水灌溉。,
27,施粒肥,肥料运筹,16,1,77,粒肥施用原则,叶色正常情况下，  不需施肥。剑叶明显褪淡，  脱肥严重处，  抽穗期补施粒肥，  用量不超过全生育期施氮量的10%。,施灌浆肥
27,施粒肥,肥料运筹,16,2,78,叶面喷施粒肥,可喷施磷酸二氢钾(浓度0.2%)和硫酸锌(浓度0.1~0.2%)等叶面肥一次，以提高结实率，促大穗。也可与病虫害防治结合施用，但要注意药肥酸碱性能否混用。,
27,施粒肥,肥料运筹,16,3,79,土施粒肥,在始穗期每亩施尿素3公斤。,
28,抽穗开花期保持水分充足,水分管理,17,1，2，3,80,保证水分供应,水稻开花授粉，是丰产稳产和米质好坏的关键过程。此时需保证稻田水分充足供应，不能缺水受旱。,30.huazhongnongshi
29,加强病虫草害防治,植物保护,17,2，3,81,加强病虫草害防治,加强病虫草害防治,
30,灌浆期露田,水分管理,21,1，2，3,82,乳熟期露田,"可在田面表土开裂1~2毫米时再灌薄水。
",29.huazhongnongshi
30,灌浆期露田,水分管理,23,1，2，3,83,黄熟期露田,水稻已渐趋衰老，当田面表土开裂4~5毫米时再复灌水。,
31,收获前断水,,23,1，2，3,84,收获前断水,在收获前7天断水，准备收获。,
32,适时收获,田事管理,24,1，2，3,85,收获标准,水稻完熟标准：95%的水稻谷壳变黄，米粒已经成型且变硬，这时米粒水分少，剥开后是透明的，不容易破碎。,31.huazhongnongshi
